customer_id,last_purchase_date,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_string,rfm_total,segment
18011,2010-12-01 17:35:00,373,1,102.79,1,1,1,111,3,Lost
17968,2010-12-01 12:23:00,373,1,277.35,1,2,2,122,5,Lost
13065,2010-12-01 16:52:00,373,1,205.86,1,1,1,111,3,Lost
18074,2010-12-01 09:53:00,373,1,489.60,1,2,2,122,5,Lost
16274,2010-12-01 15:35:00,373,1,357.95,1,2,2,122,5,Lost
12791,2010-12-01 11:27:00,373,1,192.60,1,1,1,111,3,Lost
15922,2010-12-01 13:51:00,373,1,369.50,1,2,2,122,5,Lost
14142,2010-12-01 16:33:00,373,1,311.81,1,2,2,122,5,Lost
14237,2010-12-01 13:20:00,373,1,161.00,1,1,1,111,3,Lost
14729,2010-12-01 12:43:00,373,1,313.49,1,2,2,122,5,Lost
15350,2010-12-01 13:33:00,373,1,115.65,1,1,1,111,3,Lost
16048,2010-12-01 15:28:00,373,1,256.44,1,2,2,122,5,Lost
15165,2010-12-01 14:03:00,373,1,487.75,1,2,2,122,5,Lost
13747,2010-12-01 10:37:00,373,1,79.60,1,1,1,111,3,Lost
17643,2010-12-01 14:38:00,373,1,101.55,1,1,1,111,3,Lost
16583,2010-12-01 12:03:00,373,1,233.45,1,1,1,111,3,Lost
17908,2010-12-01 11:45:00,373,1,243.28,1,1,1,111,3,Lost
15923,2010-12-02 12:16:00,372,1,127.08,1,1,1,111,3,Lost
17732,2010-12-02 09:29:00,372,1,303.97,1,2,2,122,5,Lost
17925,2010-12-02 10:10:00,372,1,244.08,1,1,1,111,3,Lost
17976,2010-12-02 13:49:00,372,1,353.19,1,2,2,122,5,Lost
17855,2010-12-02 09:44:00,372,1,208.97,1,1,1,111,3,Lost
12855,2010-12-02 09:37:00,372,1,38.10,1,1,1,111,3,Lost
16510,2010-12-02 13:39:00,372,1,248.10,1,1,1,111,3,Lost
15363,2010-12-02 12:28:00,372,1,326.00,1,2,2,122,5,Lost
14576,2010-12-02 17:51:00,372,1,35.40,1,1,1,111,3,Lost
16752,2010-12-02 12:18:00,372,1,207.50,1,1,1,111,3,Lost
15070,2010-12-02 11:23:00,372,1,106.20,1,1,1,111,3,Lost
13108,2010-12-02 10:35:00,372,1,350.06,1,2,2,122,5,Lost
15823,2010-12-02 15:08:00,372,1,15.00,1,1,1,111,3,Lost
13011,2010-12-02 17:22:00,372,1,50.55,1,1,1,111,3,Lost
16754,2010-12-02 17:38:00,372,1,2002.40,1,4,4,144,9,Cannot Lose Them
12738,2010-12-02 18:27:00,372,1,155.35,1,1,1,111,3,Lost
17850,2010-12-02 15:27:00,372,1,5391.21,1,5,5,155,11,Cannot Lose Them
16781,2010-12-02 14:26:00,372,1,311.25,1,2,2,122,5,Lost
13370,2010-12-03 10:26:00,371,1,754.87,1,3,3,133,7,At-Risk
12725,2010-12-03 15:45:00,371,1,427.80,1,2,2,122,5,Lost
12686,2010-12-03 09:51:00,371,1,89.14,1,1,1,111,3,Lost
17967,2010-12-03 11:19:00,371,1,123.07,1,1,1,111,3,Lost
14589,2010-12-03 11:42:00,371,1,39.75,1,1,1,111,3,Lost
